"","nigmsProjData.PI_IDS","nigmsProjData.PI_NAMEs"
"34477","1887731;","CLARK, EDWARD A;"
"34478","1887777;","CAPDEVILA, JORGE H;"
"34479","1876836;","LAMBOWITZ, ALAN M.;"
"34480","1876836;","LAMBOWITZ, ALAN M.;"
"34481","1861866;","MANLEY, JAMES L.;"
"34482","7827539;","STEVENS, TOM HALL;"
"34483","1864275;","LANG, CHARLES H.;"
"34484","1863232;","PENNER-HAHN, JAMES E.;"
"34485","1866943;","LINHARDT, ROBERT J;"
"34486","1863166;","BRODSKY, FRANCES M;"
"34487","1922571;","BUTLER, ALISON;"
"34488","1858052;","SAXTON, MICHAEL J.;"
"34489","1965084;","MCALLISTER, WILLIAM T;"
"34490","1863279;","HARDEN, T KENDALL;"
"34491","7353770;","WILSON, JOHN H;"
"34492","7353770;","WILSON, JOHN H;"
"34493","7353770;","WILSON, JOHN H;"
"34494","1887771;","DALDAL, M. FEVZI;"
"34495","1897076;","SCHOENBERG, DANIEL R.;"
"34496","1863277;","CRAMER, WILLIAM A.;"
"34497","1863276;","BROWN, ERIC J.;"
"34498","1893785;","SCHEIDT, W. ROBERT;"
"34499","1869461;","ROUSH, WILLIAM R;"
"34500","1887769;","JINKS-ROBERTSON, SUE;"
"34501","1887769;","JINKS-ROBERTSON, SUE;"
"34502","1860713;","CONDEELIS, JOHN S;"
"34503","6199929;","COOPER, JOHN A;"
"34504","1887767;","LEHRMAN, MARK ANDREW;"
"34505","1863190;","SCHREIBER, STUART L;"
"34506","2419169;","GRAVES, BARBARA J;"
"34507","1857699;","RAND, JAMES B.;"
"34508","1875902;","WICHMAN, HOLLY A.;"
"34509","1965076;","WANG, JOHN L;"
"34510","1898365;","EMERSON, BEVERLY MARIE;"
"34511","1898364;","QUE, LAWRENCE;"
"34512","2452531;","STENLUND, ARNE;"
"34513","1883239;","HEMLER, MARTIN E;"
"34514","1872974;","CRIMMINS, MICHAEL T.;"
"34515","1859696;","VRANA, KENT E;"
"34516","1887758;","FALANY, CHARLES N;"
"34517","1863369;","KIRSCHNER, MARC WALLACE;"
"34518","1940279;","PAYNE, GREGORY S;"
"34519","1865104;","BRETSCHER, ANTHONY P.;"
"34520","6263267;","STILLMAN, DAVID J;"
"34521","1876834;","HARTE, PETER J.;"
"34522","7814885;","VARY, THOMAS C;"
"34523","1891259;","KLINMAN, JUDITH POLLOCK;"
"34524","1883049;","IMPERIALI, BARBARA;"
"34525","1892181;","ORR-WEAVER, TERRY L.;"
"34526","1881201;","KEMPER, BYRON W;"
"34527","6191166;","PECORARO, VINCENT L.;"
"34528","1876894;","GEIDUSCHEK, ERNEST PETER;"
"34529","1862906;","BOKOCH, GARY M;"
"34530","1964709;","MAGUIRE, MICHAEL E;"
"34531","1898361;","RAGSDALE, STEPHEN WILEY;"
"34532","1863934;","BALTIMORE, DAVID;"
"34533","1886591;","GASCOIGNE, NICHOLAS R;"
"34534","1893812;","POST, CAROL B.;"
"34535","1880240;","KAPLAN, JACK H;"
"34536","1862913;","NEUBIG, RICHARD R;"
"34537","1862913;","NEUBIG, RICHARD R;"
"34538","1887755;","POTTS, WAYNE K.;"
"34539","1879850;","RICHARD, JOHN P;"
"34540","1863258;","MAIZELS, NANCY;"
"34541","1895527;","ROBISHAW, JANET D;"
"34542","1865596;","CASE, DAVID A;"
"34543","1878649;","MCKAY, DAVID B;"
"34544","1883109;","BRENOWITZ, MICHAEL D;"
"34545","1859992;","DISMUKES, G CHARLES;"
"34546","2433503;","FUTCHER, ALLEN BRUCE;"
"34547","1863308;","FINK, GERALD R;"
"34548","1897531;","SLATKIN, MONTGOMERY WILSON;"
"34549","1864711;","WARSHEL, ARIEH;"
"34550","1863270;","LIPSHUTZ, BRUCE H.;"
"34551","1863270;","LIPSHUTZ, BRUCE H.;"
"34552","1881197;","ESCALANTE, JORGE C;"
"34553","1881197;","ESCALANTE, JORGE C;"
"34554","1887752;","MARTIN, SANDRA L;"
"34555","1876831;","GILBERT, HIRAM F;"
"34556","1859096;","KURTZ, DONALD M.;"
"34557","1877275;","SOLOMON, EDWARD I;"
"34558","1965056;","SHUTTLEWORTH, TREVOR J.;"
"34559","1896493;","LIPSCOMB, JOHN D;"
"34560","1896493;","LIPSCOMB, JOHN D;"
"34561","1858106;","ARES, MANUEL;"
"34562","1868694;","GREENLEAF, ARNO L.;"
"34563","1864452;","DAVIS, TRISHA N.;"
"34564","1887750;","VIK, STEVEN B;"
"34565","1870805;","FRIESNER, RICHARD A;"
"34566","1898355;","NISHIKURA, KAZUKO;"
"34567","1858404;","LIU, HUNG-WEN;"
"34568","1858706;","KNECHT, DAVID A;"
"34569","1864688;","FIERKE, CAROL A;"
"34570","1880741;","LIN, REN-JANG;"
"34571","1879395;","CERIONE, RICHARD A.;"
"34572","1932428;","KLEIN, MICHAEL L.;"
"34573","1894530;","FALKE, JOSEPH J;"
"34574","3210235;","ALLIS, CHARLES DAVID;"
"34575","1880322;","BAUER, CARL EUGENE;"
"34576","1883108;","MICHAELIS, SUSAN D.;"
"34577","1883237;","WHITMAN, CHRISTIAN P.;"
"34578","1876829;","KANOST, MICHAEL R.;"
"34579","1863219;","KADONAGA, JAMES T.;"
"34580","1861156;","SOWERS, LAWRENCE C;"
"34581","1858403;","KOWALCZYKOWSKI, STEPHEN CHARLES;"
"34582","1863260;","EBRIGHT, RICHARD H.;"
"34583","8062464;","CHAKRABORTY, RANAJIT;"
"34584","1860230;","JACOBSON, KENNETH A;"
"34585","6256024;","SMITH, STEVEN OWEN;"
"34586","1901433;","CAHALAN, MICHAEL D;"
"34587","1964353;","DAVIDSON, VICTOR L;"
"34588","1876827;","CRAIG, SUSAN W;"
"34589","1865093;","WEINER, ALAN M;"
"34590","1863259;","OKAMURA, MELVIN Y;"
"34591","1887597;","SEDIVY, JOHN M.;"
"34592","1887597;","SEDIVY, JOHN M.;"
"34593","1863258;","MAIZELS, NANCY;"
"34594","1861611;","SYMINGTON, LORRAINE S;"
"34595","1863255;","PRICE, CAROLYN M;"
"34596","6905710;","BRENNER, DAVID A;"
"34597","6905710;","BRENNER, DAVID A;"
"34598","1859377;","KALDERON, DANIEL D;"
"34599","1898351;","THIELE, DENNIS J.;"
"34600","1898351;","THIELE, DENNIS J.;"
"34601","1863254;","BECKWITH, JONATHAN;"
"34602","1859694;","GROSSMAN, ALAN D;"
"34603","1895526;","BROUWER, KIM;"
"34604","1895526;","BROUWER, KIM;"
"34605","1863359;","GERACE, LARRY R;"
"34606","1862090;","SCOTT, ROBERT A;"
"34607","1862089;","OLIVER, DONALD B.;"
"34608","1863252;","MERCHANT, SABEEHA;"
"34609","1863252;","MERCHANT, SABEEHA;"
"34610","1883234;","POSTLE, KATHLEEN;"
"34611","3054378;","STUART, KENNETH D;"
"34612","1887738;","SONENSHEIN, ABRAHAM LINCOLN;"
"34613","1878747;","STAHL, PHILIP D;"
"34614","1863435;","BALCH, WILLIAM EDWARD;"
"34615","1871261;","HARLAND, RICHARD M.;"
"34616","1880963;","GRUNSTEIN, MICHAEL;"
"34617","1873663;","BLUMENTHAL, THOMAS;"
"34618","1887735;","SCHMID, SANDRA L.;"
"34619","1876822;","BROWER, DANNY L;"
"34620","1898350;","RYMOND, BRIAN C.;"
"34621","1887733;","HOLLOMAN, WILLIAM K.;"
"34622","1876821;","GOLDENBERG, DAVID P;"
"34623","1887730;","BELMONT, ANDREW S.;"
"34624","1887729;","MACHAMER, CAROLYN E;"
"34625","1898349;","GEYER, PAMELA K.;"
"34626","8058334;","SUMMERS, MICHAEL FINLEY;"
"34627","1887727;","OSMANI, STEPHEN A;"
"34628","1898348;","GIEDROC, DAVID P.;"
"34629","7939911;","GAMELLI, RICHARD LOUIS;"
"34630","1887726;","MACDONALD, PAUL M.;"
"34631","2430585;","POULOS, THOMAS LEWIS;"
"34632","1887725;","REMINGTON, S. JAMES;"
"34633","1858048;","WHITTAKER, JAMES W;"
"34634","1887724;","WINN, ROBERT K;"
"34635","1898347;","SPECTOR, DAVID L;"
"34636","1859429;","KRAINER, ADRIAN R;"
"34637","1887723;","PATTERSON, DAVID R;"
"34638","1887722;","WILLIS, IAN M;"
"34639","1887719;","VIERLING, ELIZABETH;"
"34640","1883231;","EICKBUSH, THOMAS H.;"
"34641","1965020;","ALBINA, JORGE E;"
"34642","1887717;","WINANS, STEPHEN C.;"
"34643","1887716;","WILLIAMS, DAVID R.;"
"34644","1876818;","SODETZ, JAMES M;"
"34645","1926309;","PEABODY, DAVID S.;"
"34646","1926309;","PEABODY, DAVID S.;"
"34647","7705133;","GREIDER, CAROL W;"
"34648","1865878;","RAYCHAUDHURI, PRADIP;"
"34649","1863368;","ZAKIAN, VIRGINIA A.;"
"34650","1861620;","TSAI, MING-DAW;"
"34651","1897195;","BARRY, BRIDGETTE ANNE;"
"34652","1879565;","NOODLEMAN, LOUIS;"
"34653","1887713;","COOLEY, LYNN;"
"34654","1883229;","BERNE, BRUCE J;"
"34655","1887712;","REED, ROBIN E;"
"34656","1882978;","SCHEDL, PAUL D;"
"34657","1887711;","PAPAZIAN, DIANE M;"
"34658","1898344;","PIGGOT, PATRICK J.;"
"34659","1863238;","KROOS, LEE R;"
"34660","1918424;","JARRETT, HARRY W;"
"34661","1965003;","ESTELLE, MARK A;"
"34662","1863237;","DUBNAU, DAVID A;"
"34663","8069544;","GILMORE, JAMES REID;"
"34664","1965001;","BENFEY, PHILIP N.;"
"34665","1869058;","HANNUN, YUSUF AWNI;"
"34666","1883094;","LOVETT, SUSAN THOMAS;"
"34667","1883041;","GOTTSCHLING, DANIEL E.;"
"34668","1893784;","KINGSTON, ROBERT;"
"34669","1898339;","ZOLAN, MIRIAM E;"
"34670","1876926;","HUGHES, AUSTIN L.;"
"34671","1883203;","MACKINNON, RODERICK;"
"34672","1893707;","KIM, STUART K;"
"34673","1893707;","KIM, STUART K;"
"34674","1869991;","AGGARWAL, ANEEL K.;"
"34675","1880280;","HOCHSCHILD, ANN;"
"34676","1956109;","CORREIA, MARIA ALMIRA;"
"34677","1912785;","LAHTI, JILL M;"
"34678","1898336;","POCHAPSKY, THOMAS CHARLES;"
"34679","1883227;","MITCHELL, DAVID R;"
"34680","1857697;","SMITH, CHARLES VINCENT;"
"34681","1862906;","BOKOCH, GARY M;"
"34682","1964986;","PARODI, ARMANDO JOSE;"
"34683","1898333;","COUREY, ALBERT J;"
"34684","1898333;","COUREY, ALBERT J;"
"34685","1887707;","BANKAITIS, VYTAS A;"
"34686","1873061;","WOLYNES, PETER G.;"
"34687","1883225;","SCHROER, TRINA A;"
"34688","1887704;","BLUMER, KENDALL J;"
"34689","1887869;","JOHNSON, KENNETH ALLEN;"
"34690","1858401;","LEWIS, MITCHELL;"
"34691","1893782;","RUVKUN, GARY B.;"
"34692","1895191;","CHUA, NAM-HAI;"
"34693","1887699;","WOLD, MARC S;"
"34694","1876747;","HAYS, THOMAS S;"
"34695","1883223;","WEST, MICHAEL ALLAN;"
"34696","1884048;","RAINES, RONALD T;"
"34697","8328629;","KLECKNER, NANCY E.;"
"34698","1860712;","NEMAZEE, DAVID;"
"34699","1893780;","WEBER, STEPHEN G.;"
"34700","1887698;","BELFORT, MARLENE;"
"34701","1893723;","VERDINE, GREGORY L;"
"34702","1883221;","TSAI, AH-LIM;"
"34703","1879387;","HAGE, DAVID S;"
"34704","1879387;","HAGE, DAVID S;"
"34705","1881578;","BENOVIC, JEFFREY L;"
"34706","1894761;","MERZ, KENNETH M;"
"34707","1887696;","NAGLE, JOHN F;"
"34708","1864758;","BOMSZTYK, KAROL;"
"34709","1887694;","MACKAY, TRUDY F;"
"34710","6494917;","MODRICH, PAUL LAWRENCE;"
"34711","1887691;","LEIBOLD, ELIZABETH ANN;"
"34712","1879851;","ZAMBRYSKI, PATRICIA C.;"
"34713","1863230;","KAGUNI, LAURIE SIMON;"
"34714","1889359;","ICHIYE, TOSHIKO;"
"34715","1875984;","COFFINO, PHILIP;"
"34716","1893779;","MCLUCKEY, SCOTT A;"
"34717","1887690;","LEWIS, RICHARD S;"
"34718","1887689;","AKEY, CHRISTOPHER W;"
"34719","1858399;","KAZAZIAN, HAIG H.;"
"34720","1863328;","LISKAY, ROBERT MICHAEL;"
"34721","1885232;","SCHIMENTI, JOHN C;"
"34722","1884018;","STILLMAN, BRUCE W;"
"34723","1898330;","KURIYAN, JOHN;"
"34724","1894760;","SINGLETON, DANIEL A;"
"34725","1880317;","DEININGER, PRESCOTT L;"
"34726","1898328;","MEYEROWITZ, ELLIOT M;"
"34727","1863326;","WINSTON, FRED M.;"
"34728","1887685;","PON, LIZA A.;"
"34729","1889297;","JACKOWSKI, SUZANNE;"
"34730","1887684;","DINARDO, STEPHEN FRANCIS;"
"34731","1964951;","SCHILDKRAUT, CARL L;"
"34732","1964951;","SCHILDKRAUT, CARL L;"
"34733","1893777;","ALWINE, JAMES C;"
"34734","1865596;","CASE, DAVID A;"
"34735","1893776;","MCKEARIN, DENNIS M;"
"34736","1898322;","KILEY, PATRICIA J;"
"34737","1898321;","MAIER, RONALD VITT;"
"34738","8199791;","KOVACS, JULIA A;"
"34739","8199791;","KOVACS, JULIA A;"
"34740","1901075;","ZUBER, PETER A;"
"34741","1893775;","HANSEN, JEFFREY C;"
"34742","1865316;","BROWN, RHODERICK E;"
"34743","8005790;","LOHMAN, TIMOTHY M;"
"34744","1896741;","CLARKE, CATHERINE FREITAG;"
"34745","1896741;","CLARKE, CATHERINE FREITAG;"
"34746","1878922;","WILSON, IAN A;"
"34747","1879128;","MALHOTRA, VIVEK;"
"34748","1887679;","ENDOW, SHARYN A.;"
"34749","1876807;","THOMPSON, ELIZABETH ALISON;"
"34750","1895948;","JOHNSON, ROSS G;"
"34751","1878888;","SAXTON, WILLIAM M;"
"34752","1860233;","TAINER, JOHN A;"
"34753","1884679;","HALL, KATHLEEN B;"
"34754","1858903;","SHUMAN, STEWART H;"
"34755","1887676;","REINES, DANIEL;"
"34756","1860711;","AYALA, ALFRED;"
"34757","1883212;","FERRELL, JAMES E.;"
"34758","1883212;","FERRELL, JAMES E.;"
"34759","1871621;","BOTSTEIN, DAVID;"
"34760","1863223;","SULLIVAN, WILLIAM T.;"
"34761","1858044;","FEDOR, MARTHA J.;"
"34762","1869149;","MONTELL, DENISE J.;"
"34763","1869149;","MONTELL, DENISE J.;"
"34764","1898320;","LINDAHL, PAUL A.;"
"34765","1929498;","SCHMIDT, MARTIN C;"
"34766","1887675;","INNES, ROGER W.;"
"34767","1887674;","SHYU, ANN-BIN;"
"34768","1887673;","BURATOWSKI, STEPHEN;"
"34769","1881579;","PARKIN, GERARD;"
"34770","1922246;","BECKETT, DOROTHY;"
"34771","1964925;","JONES, RICHARD S;"
"34772","1879161;","KYRIAKIS, JOHN M;"
"34773","1876803;","BUJALOWSKI, W. M.;"
"34774","1896603;","STRAUCH, MARK A;"
"34775","6256024;","SMITH, STEVEN OWEN;"
"34776","1898316;","GAO, JIALI;"
"34777","1858048;","WHITTAKER, JAMES W;"
"34778","1858018;","RICHTER, JOEL D;"
"34779","1883210;","DISTECHE, CHRISTINE M.;"
"34780","1955178;","BARGIELLO, THADDEUS ANDREW;"
"34781","1901667;","HOCHSTRASSER, MARK;"
"34782","1882980;","KAISER, CHRIS ALAN;"
"34783","1932764;","CLINE, KENNETH C.;"
"34784","1892985;","ELION, ELAINE A.;"
"34785","1898314;","POSAKONY, JAMES W.;"
"34786","1941993;","PIWNICA-WORMS, HELEN M;"
"34787","1865655;","COWBURN, DAVID;"
"34788","1883207;","RECORD, M. THOMAS;"
"34789","1898313;","SWITZER, ROBERT L;"
"34790","1887667;","BENDER, ROBERT A;"
"34791","1887665;","SCHWARTZ, MARTIN A.;"
"34792","1870512;","BEEN, MICHAEL;"
"34793","1862338;","CROSS, FREDERICK R.;"
"34794","1865977;","TOMKINSON, ALAN E;"
"34795","1863216;","NOCERA, DANIEL G.;"
"34796","1863216;","NOCERA, DANIEL G.;"
"34797","1893773;","FITZPATRICK, PAUL F.;"
"34798","1876800;","HUYNH, BOI-HANH V.;"
"34799","1921951;","DOWNS, DIANA M.;"
"34800","1893772;","HENGGE, ALVAN C;"
"34801","6199929;","COOPER, JOHN A;"
"34802","1863214;","LEARY, JULIE ANN;"
"34803","1883204;","TOLMAN, WILLIAM B;"
"34804","1876799;","CRAMER, STEVEN MICHAEL;"
"34805","1879564;","THORSNESS, PETER E.;"
"34806","1865133;","BARBER, DIANE L;"
"34807","1893769;","HELMANN, JOHN D.;"
"34808","1879395;","CERIONE, RICHARD A.;"
"34809","7354268;","JAISWAL, ANIL KUMAR;"
"34810","1880314;","QUAIL, PETER H.;"
"34811","1897529;","GILMOUR, DAVID S.;"
"34812","1928428;","SACHS, MATTHEW STEVEN;"
"34813","1922249;","MOREMEN, KELLEY W.;"
"34814","1883199;","TURNER, CHRISTOPHER E;"
"34815","1862163;","FEIG, LARRY;"
"34816","1876798;","HENDRIX, ROGER W;"
"34817","1881745;","HENKIN, TINA M.;"
"34818","1878786;","BARNES, GEORJANA;"
"34819","1861608;","KUNG, CHING;"
"34820","1883195;","PEIFER, MARK;"
"34821","1895248;","HAN, MIN;"
"34822","1865094;","BAKER, NICHOLAS E;"
"34823","1876797;","BROWN, DEBORAH ANN;"
"34824","1876797;","BROWN, DEBORAH ANN;"
"34825","1860710;","KRANZ, ROBERT G.;"
"34826","1964876;","DAUNERT, SYLVIA;"
"34827","1883193;","PREVELIGE, PETER E.;"
"34828","1886591;","GASCOIGNE, NICHOLAS R;"
"34829","1898306;","OETTINGER, MARJORIE A;"
"34830","1880311;","BERATAN, DAVID;"
"34831","1895517;","FLEMINGTON, ERIK K;"
"34832","1895517;","FLEMINGTON, ERIK K;"
"34833","1883065;","GUAN, JUN-LIN;"
"34834","1883189;","PARKER, IAN;"
"34835","1863344;","YARUS, MICHAEL J;"
"34836","1883188;","EISENACH, JAMES;"
"34837","1863300;","WANG, GING K;"
"34838","1881412;","HARRISON, MARIETTA L;"
"34839","1898305;","O'BROCHTA, DAVID A;"
"34840","2419797;","FEIGON, JULI F;"
"34841","1867733;","COLLEY, KAREN J;"
"34842","1880309;","ACKERMAN, SHARON H.;"
"34843","1894757;","MISRA, RAJEEV;"
"34844","1896488;","BRITT, R DAVID;"
"34845","1861866;","MANLEY, JAMES L.;"
"34846","1861866;","MANLEY, JAMES L.;"
"34847","1892939;","FRECHET, JEAN M;"
"34848","1893784;","KINGSTON, ROBERT;"
"34849","1884559;","WOLIN, SANDRA L.;"
"34850","1964851;","GOLDBERG, MICHAEL L;"
"34851","1859375;","ROTH, MARK B;"
"34852","1880305;","LECHLEITER, JAMES D;"
"34853","1876794;","DEAN, NETA;"
"34854","1872197;","SAMMAKIA, TAREK;"
"34855","1876792;","LEVIN, DAVID E.;"
"34856","1940958;","BROACH, JAMES R.;"
"34857","1880111;","CANDE, WILLIAM ZACHEUS;"
"34858","1863332;","LONDON, ERWIN;"
"34859","1878785;","O'HALLORAN, THERESA JOYCE;"
"34860","1878785;","O'HALLORAN, THERESA JOYCE;"
"34861","1883182;","BORKOVICH, KATHERINE A;"
"34862","6699951;","WILSON, KATHERINE L.;"
"34863","1887659;","HOLZBAUR, ERIKA L;"
"34864","1964838;","ROTNITZKY, ANDREA GLORIA;"
"34865","1881190;","CYERT, MARTHA S;"
"34866","1880303;","DE LOZANNE, ARTURO;"
"34867","1880956;","CHRISTIE, PETER J.;"
"34868","1922403;","BECHHOFER, DAVID H;"
"34869","1887658;","SAYRE, LAWRENCE M;"
"34870","1864703;","SKOLNICK, JEFFREY;"
"34871","1883007;","ALBER, THOMAS C;"
"34872","1964815;","ZWIEB, CHRISTIAN W;"
"34873","1861606;","EDELMAN, ELAZER R;"
"34874","8009743;","KONARSKA, MAGDA;"
"34875","1861605;","GRALLA, JAY D;"
"34876","1861158;","RETTIE, ALLAN EDWARD;"
"34877","1898301;","NOWICK, JAMES S;"
"34878","1858397;","LEBRILLA, CARLITO B;"
"34879","1858397;","LEBRILLA, CARLITO B;"
"34880","1865986;","AUBE, JEFFREY;"
"34881","1879524;","JOHNS, ROGER A;"
"34882","1861157;","TUKEY, ROBERT H;"
"34883","1860225;","WEK, RONALD C;"
"34884","2401605;","STUBBE, JOANNE;"
"34885","3058423;","BARTON, JACQUELINE K;"
"34886","1859374;","BAKER, TANIA A;"
"34887","1896477;","CHENG, XIAODONG;"
"34888","1860706;","DAVIDSON, AMY L.;"
"34889","1875645;","BASTIA, DEEPAK;"
"34890","6966304;","WALSH, CHRISTOPHER T;"
"34891","1876106;","STARK, GEORGE ROBERT;"
"34892","1871261;","HARLAND, RICHARD M.;"
"34893","8623750;","PEHRSON, JOHN R.;"
"34894","1862334;","FU, XIANG-DONG;"
"34895","1883169;","HASHIMOTO, CARL;"
"34896","1858000;","DUNNY, GARY M;"
"34897","1880266;","ANDERSON, KAREN S;"
"34898","1876868;","BAMBARA, ROBERT A;"
"34899","1893753;","IMLAY, JAMES A.;"
"34900","1883166;","BLACK, DOUGLAS L.;"
"34901","1876840;","AVADHANI, NARAYAN G;"
"34902","3168604;","SHRIVER, JOHN W;"
"34903","1867344;","CROOKE, ELLIOTT;"
"34904","1867344;","CROOKE, ELLIOTT;"
"34905","1895513;","MONTAL, MAURICIO S;"
"34906","1865419;","SILVERMAN, RICHARD B;"
"34907","1881747;","CHRISTIANSON, DAVID W;"
"34908","1858396;","BOLEN, DAVID W;"
"34909","1883160;","OLIVER, JANET M;"
"34910","6365642;","MOYE-ROWLEY, W SCOTT;"
"34911","1895512;","GIFFARD, RONA G;"
"34912","1883158;","SIMON, JEFFREY A;"
"34913","1859097;","STODDARD, BARRY L.;"
"34914","1893750;","BOWERMAN, BRUCE A.;"
"34915","1898297;","HELLINGA, HOMME W.;"
"34916","1897193;","TAMKUN, JOHN WALTER;"
"34917","1883156;","MUSIER-FORSYTH, KARIN M;"
"34918","1883156;","MUSIER-FORSYTH, KARIN M;"
"34919","2180106;","KIESSLING, LAURA L;"
"34920","1883155;","KORNBERG, ROGER D;"
"34921","8005932;","KOLODNER, RICHARD D;"
"34922","1881743;","EGELHOFF, THOMAS;"
"34923","1881886;","SNIDER, BARRY B.;"
"34924","1862993;","TZAGOLOFF, ALEXANDER A;"
"34925","2156049;","WOODS, ANNE C.;"
"34926","1883152;","FRASCH, WAYNE D;"
"34927","1928805;","ROUGVIE, ANN E.;"
"34928","1893749;","JAYNES, JAMES B;"
"34929","1893749;","JAYNES, JAMES B;"
"34930","1922179;","NEWMEYER, DONALD DAVID;"
"34931","1964744;","SCHWER, BEATE;"
"34932","1896739;","PALMER, ARTHUR G.;"
"34933","1885894;","PYLE, ANNA MARIE;"
"34934","1860976;","PARDUE, MARY-LOU;"
"34935","1901680;","KANE, PATRICIA M;"
"34936","1861156;","SOWERS, LAWRENCE C;"
"34937","1916428;","BERLOT, CATHERINE H;"
"34938","1874238;","JORDAN, FRANK;"
"34939","1879477;","MORRIS, ANDREW J;"
"34940","1880954;","POOLE, LESLIE B;"
"34941","1880954;","POOLE, LESLIE B;"
"34942","1887720;","DRUBIN, DAVID G.;"
"34943","1872198;","REMICK, DANIEL G.;"
"34944","1872198;","REMICK, DANIEL G.;"
"34945","1881574;","WEISMAN, LOIS S;"
"34946","1879483;","GORBSKY, GARY J.;"
"34947","1955171;","MAYER, JAMES M;"
"34948","1898295;","RIVERA, MARIO;"
"34949","1889181;","STERN, MICHAEL J;"
"34950","1883146;","HEYDUK, TOMASZ;"
"34951","1858963;","MACARA, IAN G;"
"34952","8066184;","WASSERMAN, STEVEN ALEXANDER;"
"34953","6320746;","WEIS, WILLIAM I;"
"34954","1865995;","CARMAN, GEORGE M.;"
"34955","2409981;","BLANCK, THOMAS JOSEPH JOHN;"
"34956","1964688;","REZNIKOFF, WILLIAM S.;"
"34957","8066708;","OLDFIELD, ERIC;"
"34958","1925349;","HOLLINGSWORTH, NANCY M.;"
"34959","1887649;","STACK, T DANIEL;"
"34960","1865983;","BAINES, JOEL D.;"
"34961","1881406;","RUNGE, KURT W;"
"34962","8078827;","THOMAS, GEORGE J;"
"34963","1898294;","BOROVIK, A. S.;"
"34964","1898294;","BOROVIK, A. S.;"
"34965","1883140;","DAGGETT, VALERIE D;"
"34966","1858700;","KELLY, THOMAS J;"
"34967","1893735;","FERGUSON, EDWIN L;"
"34968","1863201;","FOX, BRIAN G.;"
"34969","1893734;","BOURRET, ROBERT B.;"
"34970","1863200;","QURESHI, NILOFER;"
"34971","1857744;","DIPIETRO, LUISA A;"
"34972","1858909;","BECKERLE, MARY C.;"
"34973","1867966;","DE MAIO, ANTONIO;"
"34974","1859694;","GROSSMAN, ALAN D;"
"34975","1926009;","THEURKAUF, WILLIAM EDWARD;"
"34976","1859095;","FULLER, ROBERT S;"
"34977","1893729;","ANDERSON, PHILIP;"
"34978","1898291;","BISHOP, DOUGLAS K.;"
"34979","2419166;","WICKENS, MARVIN P.;"
"34980","1883034;","MARQUSEE, SUSAN;"
"34981","1876777;","PONTICELLI, ALFRED S;"
"34982","2064403;","FISHER, SUSAN H.;"
"34983","1893727;","DESTEFANO, JEFFREY J;"
"34984","6397264;","EDGAR, BRUCE A;"
"34985","1883134;","WHEELOCK, MARGARET J;"
"34986","1883133;","DENT, SHARON R;"
"34987","1866125;","WENTE, SUSAN R.;"
"34988","1863969;","FINER-MOORE, JANET S.;"
"34989","1868337;","POPOV, KIRILL M;"
"34990","1883129;","MCALISTER-HENN, LEE;"
"34991","1858393;","PUGLISI, JOSEPH D;"
"34992","1883128;","BARTOLOMEI, MARISA S.;"
"34993","1883127;","SHIN, YEON-KYUN;"
"34994","1858679;","KING, STEPHEN M.;"
"34995","1858908;","RAETZ, CHRISTIAN R;"
"34996","2174668;","WINEY, MARK;"
"34997","1964607;","TAMM, LUKAS K;"
"34998","8066710;","LECKBAND, DEBORAH E;"
"34999","1883120;","O'SHEA, ERIN K;"
"35000","1883119;","WYSOCKI, VICKI H;"
"35001","1887643;","GARTENBERG, MARC R.;"
"35002","1860024;","BLENIS, JOHN;"
"35003","1883117;","SHAPIRO, LUCILLE;"
"35004","1879131;","ERIKSSON, ELOF;"
"35005","1881391;","BLOCK, STEVEN M;"
"35006","1883114;","SORGER, PETER KARL;"
"35007","1883114;","SORGER, PETER KARL;"
"35008","1872784;","CUSHMAN, MARK S;"
"35009","1891254;","JUNGER, WOLFGANG G;"
"35010","1891254;","JUNGER, WOLFGANG G;"
"35011","1876771;","MACKERELL, ALEXANDER DONALD;"
"35012","1883108;","MICHAELIS, SUSAN D.;"
"35013","7691221;","COMPTON, DUANE A.;"
"35014","1883101;","GUAN, KUN-LIANG;"
"35015","1883099;","ECKENHOFF, RODERIC G;"
"35016","1893718;","PARK, JAMES T;"
"35017","1898281;","CODY, VIVIAN;"
"35018","1863363;","DERVAN, PETER B;"
"35019","1883094;","LOVETT, SUSAN THOMAS;"
"35020","1898279;","ENSIGN, SCOTT A.;"
"35021","1861849;","REGEN, STEVEN L.;"
"35022","1883091;","VAN DER BLIEK, ALEXANDER M;"
"35023","1880293;","POETHIG, RICHARD SCOTT;"
"35024","1876808;","GOLDBERG, ALFRED L;"
"35025","1931836;","KUHNER, MARY K;"
"35026","1893715;","ORR, H ALLEN;"
"35027","1898276;","SMALL, STEPHEN J;"
"35028","1883090;","GERSHON, PAUL D;"
"35029","1863192;","CASHMORE, ANTHONY R.;"
"35030","1921962;","PATEL, SMITA S;"
"35031","6228781;","ANDERSON, RICHARD A.;"
"35032","1876798;","HENDRIX, ROGER W;"
"35033","1887640;","DAVIS, FRANKLIN A;"
"35034","1964524;","BRUN, YVES V;"
"35035","1883089;","DOXSEY, STEPHEN J;"
"35036","1955216;","ANDERSON, RICHARD G.;"
"35037","1870805;","FRIESNER, RICHARD A;"
